//ID	Name	RGB color	Sound effect ID	Color RGB	Lighting RGB value	Lighting angle	Is it city?
19	#T_AREASET_TXT_19#	147,109,53	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
20	#T_AREASET_TXT_20#	51,244,13	6	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
21	#T_AREASET_TXT_21#	76,230,5	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
22	#T_AREASET_TXT_22#	57,33,16	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
23	#T_AREASET_TXT_23#	115,17,139	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
24	#T_AREASET_TXT_24#	208,161,90	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
25	#T_AREASET_TXT_25#	80,99,145	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
26	#T_AREASET_TXT_26#	50,216,246	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
27	#T_AREASET_TXT_27#	168,233,249	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
28	#T_AREASET_TXT_28#	128,114,64	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
29	#T_AREASET_TXT_29#	141,110,121	7	170,106,74	250,242,210	-1.0,-1.0,-1.0	0
30	#T_AREASET_TXT_30#	236,161,43	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
31	#T_AREASET_TXT_31#	114,54,146	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
32	#T_AREASET_TXT_32#	103,182,118	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
33	#T_AREASET_TXT_33#	53,42,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
34	#T_AREASET_TXT_34#	221,243,5	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
35	#T_AREASET_TXT_35#	49,78,9	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
36	#T_AREASET_TXT_36#	240,207,11	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
37	#T_AREASET_TXT_37#	53,201,176	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
38	#T_AREASET_TXT_38#	185,149,202	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
39	#T_AREASET_TXT_39#	150,219,2	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
40	#T_AREASET_TXT_40#	18,252,192	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
41	#T_AREASET_TXT_41#	16,30,236	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
42	#T_AREASET_TXT_42#	21,170,32	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
43	#T_AREASET_TXT_43#	195,19,206	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
44	#T_AREASET_TXT_44#	67,65,130	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
45	#T_AREASET_TXT_45#	111,49,196	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
46	#T_AREASET_TXT_46#	115,252,101	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
47	#T_AREASET_TXT_47#	157,117,157	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
48	#T_AREASET_TXT_48#	47,213,183	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
49	#T_AREASET_TXT_49#	155,239,79	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
50	#T_AREASET_TXT_50#	68,251,228	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
51	#T_AREASET_TXT_51#	47,211,221	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
52	#T_AREASET_TXT_52#	25,93,98	9	198,152,68	253,247,229	-1.0,-1.0,-1.0	0
53	#T_AREASET_TXT_53#	135,206,147	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
54	#T_AREASET_TXT_54#	125,70,239	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
55	#T_AREASET_TXT_55#	84,137,128	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
56	#T_AREASET_TXT_56#	108,55,216	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
57	#T_AREASET_TXT_57#	32,125,91	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
58	#T_AREASET_TXT_58#	236,194,55	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
59	#T_AREASET_TXT_59#	6,51,63	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
60	#T_AREASET_TXT_60#	249,33,4	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
61	#T_AREASET_TXT_61#	121,144,53	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
62	#T_AREASET_TXT_62#	214,153,143	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
63	#T_AREASET_TXT_63#	15,218,22	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
64	#T_AREASET_TXT_64#	212,158,103	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
65	#T_AREASET_TXT_65#	168,43,212	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
66	#T_AREASET_TXT_66#	126,30,242	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
67	#T_AREASET_TXT_67#	118,79,29	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
68	#T_AREASET_TXT_68#	221,65,111	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
69	#T_AREASET_TXT_69#	200,149,199	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
70	#T_AREASET_TXT_70#	191,103,213	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
71	#T_AREASET_TXT_71#	104,43,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
72	#T_AREASET_TXT_72#	224,199,62	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
73	#T_AREASET_TXT_73#	135,85,33	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
74	#T_AREASET_TXT_74#	63,178,57	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
75	#T_AREASET_TXT_75#	244,68,53	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
76	#T_AREASET_TXT_76#	210,198,243	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
77	#T_AREASET_TXT_77#	180,161,8	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
78	#T_AREASET_TXT_78#	236,209,143	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
79	#T_AREASET_TXT_79#	214,127,72	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
80	#T_AREASET_TXT_80#	162,178,52	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
81	#T_AREASET_TXT_81#	173,209,85	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
82	#T_AREASET_TXT_82#	77,53,71	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
83	#T_AREASET_TXT_83#	180,193,31	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
84	#T_AREASET_TXT_84#	36,137,84	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
85	#T_AREASET_TXT_85#	47,165,183	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
86	#T_AREASET_TXT_86#	206,97,41	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
87	#T_AREASET_TXT_87#	5,128,34	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
88	#T_AREASET_TXT_88#	252,129,141	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
89	#T_AREASET_TXT_89#	206,123,122	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
90	#T_AREASET_TXT_90#	36,76,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
91	#T_AREASET_TXT_91#	242,171,97	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
92	#T_AREASET_TXT_92#	164,230,2	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
93	#T_AREASET_TXT_93#	50,215,93	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
94	#T_AREASET_TXT_94#	94,11,153	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
95	#T_AREASET_TXT_95#	141,99,210	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
96	#T_AREASET_TXT_96#	103,157,130	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
97	#T_AREASET_TXT_97#	212,85,58	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
98	#T_AREASET_TXT_98#	61,57,42	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
99	#T_AREASET_TXT_99#	142,77,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
100	#T_AREASET_TXT_100#	114,221,104	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
101	#T_AREASET_TXT_101#	86,219,73	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
102	#T_AREASET_TXT_102#	132,5,100	3	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
103	#T_AREASET_TXT_103#	119,229,46	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
104	#T_AREASET_TXT_104#	77,55,210	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
105	#T_AREASET_TXT_105#	43,183,74	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
106	#T_AREASET_TXT_106#	183,214,241	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
107	#T_AREASET_TXT_107#	112,34,109	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
108	#T_AREASET_TXT_108#	97,231,199	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
109	#T_AREASET_TXT_109#	193,245,237	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
110	#T_AREASET_TXT_110#	16,236,40	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
111	#T_AREASET_TXT_111#	8,217,215	2	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
112	#T_AREASET_TXT_112#	234,9,226	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
113	#T_AREASET_TXT_113#	206,16,176	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
114	#T_AREASET_TXT_114#	23,233,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
115	#T_AREASET_TXT_115#	75,163,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
116	#T_AREASET_TXT_116#	98,47,35	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
117	#T_AREASET_TXT_117#	233,216,16	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
118	#T_AREASET_TXT_118#	178,186,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
119	#T_AREASET_TXT_119#	226,64,246	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
120	#T_AREASET_TXT_120#	77,244,121	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
121	#T_AREASET_TXT_121#	180,50,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
122	#T_AREASET_TXT_122#	11,59,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
123	#T_AREASET_TXT_123#	27,174,168	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
124	#T_AREASET_TXT_124#	134,144,185	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
125	#T_AREASET_TXT_125#	155,249,181	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
126	#T_AREASET_TXT_126#	153,139,227	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
127	#T_AREASET_TXT_127#	128,248,172	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
128	#T_AREASET_TXT_128#	215,108,251	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
129	#T_AREASET_TXT_129#	2,55,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
130	#T_AREASET_TXT_130#	79,134,69	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
131	#T_AREASET_TXT_131#	9,119,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
132	#T_AREASET_TXT_132#	14,103,20	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
133	#T_AREASET_TXT_133#	92,247,123	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
134	#T_AREASET_TXT_134#	17,178,140	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
135	#T_AREASET_TXT_135#	233,118,107	15	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
136	#T_AREASET_TXT_136#	215,42,65	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
137	#T_AREASET_TXT_137#	143,232,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
138	#T_AREASET_TXT_138#	19,182,75	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
139	#T_AREASET_TXT_139#	13,139,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
140	#T_AREASET_TXT_140#	137,56,156	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
141	#T_AREASET_TXT_141#	148,147,165	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
142	#T_AREASET_TXT_142#	53,30,26	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
143	#T_AREASET_TXT_143#	77,142,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
144	#T_AREASET_TXT_144#	80,99,145	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
145	#T_AREASET_TXT_145#	141,110,121	7	170,106,74	250,242,210	-1.0,-1.0,-1.0	0
146	#T_AREASET_TXT_146#	168,233,249	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
147	#T_AREASET_TXT_147#	235,233,76	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
148	#T_AREASET_TXT_148#	5,26,77	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
149	#T_AREASET_TXT_149#	145,55,140	7	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
150	#T_AREASET_TXT_150#	179,145,204	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
151	#T_AREASET_TXT_151#	224,85,56	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
152	#T_AREASET_TXT_152#	19,218,37	7	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
153	#T_AREASET_TXT_153#	31,26,88	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
154	#T_AREASET_TXT_154#	153,136,239	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
155	#T_AREASET_TXT_155#	253,159,209	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
156	#T_AREASET_TXT_156#	202,250,237	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
157	#T_AREASET_TXT_157#	205,141,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
158	#T_AREASET_TXT_158#	205,141,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
159	#T_AREASET_TXT_159#	141,137,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
160	#T_AREASET_TXT_160#	63,24,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
161	#T_AREASET_TXT_161#	232,1,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
162	#T_AREASET_TXT_162#	172,252,194	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
163	#T_AREASET_TXT_163#	75,127,19	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
164	#T_AREASET_TXT_164#	53,178,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
165	#T_AREASET_TXT_165#	234,9,226	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
166	#T_AREASET_TXT_166#	116,167,1	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
167	#T_AREASET_TXT_167#	250,140,244	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
168	#T_AREASET_TXT_168#	100,82,211	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
169	#T_AREASET_TXT_169#	185,181,196	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
170	#T_AREASET_TXT_170#	171,36,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
171	#T_AREASET_TXT_171#	243,100,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
172	#T_AREASET_TXT_172#	134,98,88	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
173	#T_AREASET_TXT_173#	95,196,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
174	#T_AREASET_TXT_174#	59,45,118	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
175	#T_AREASET_TXT_175#	88,238,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
176	#T_AREASET_TXT_176#	2,2,180	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
177	#T_AREASET_TXT_177#	122,97,10	7	114,148,155	255,255,255	-1.0,-1.0,-1.0	1
178	#T_AREASET_TXT_178#	217,104,215	7	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
179	#T_AREASET_TXT_179#	239,134,60	11	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
180	#T_AREASET_TXT_180#	128,128,128	14	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
181	#T_AREASET_TXT_181#	180,40,8	10	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
182	#T_AREASET_TXT_182#	13,75,166	6	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
183	#T_AREASET_TXT_183#	122,97,10	9	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
184	#T_AREASET_TXT_184#	208,205,156	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
185	#T_AREASET_TXT_185#	18,222,247	10	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
186	#T_AREASET_TXT_186#	11,96,177	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
187	#T_AREASET_TXT_187#	111,97,12	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
188	#T_AREASET_TXT_188#	66,154,36	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
189	#T_AREASET_TXT_189#	146,17,37	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
190	#T_AREASET_TXT_190#	167,222,81	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
191	#T_AREASET_TXT_191#	110,71,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
192	#T_AREASET_TXT_192#	159,4,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
193	#T_AREASET_TXT_193#	184,7,111	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
194	#T_AREASET_TXT_194#	20,68,132	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
195	#T_AREASET_TXT_195#	14,154,24	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
196	#T_AREASET_TXT_196#	142,37,89	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
197	#T_AREASET_TXT_197#	92,158,57	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
198	#T_AREASET_TXT_198#	188,146,160	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
199	#T_AREASET_TXT_199#	122,153,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
200	#T_AREASET_TXT_200#	188,183,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
201	#T_AREASET_TXT_201#	39,136,46	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
202	#T_AREASET_TXT_202#	30,39,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
203	#T_AREASET_TXT_203#	161,20,96	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
204	#T_AREASET_TXT_204#	59,160,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
205	#T_AREASET_TXT_205#	135,58,94	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
206	#T_AREASET_TXT_206#	6,208,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
207	#T_AREASET_TXT_207#	107,14,201	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
208	#T_AREASET_TXT_208#	208,231,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
209	#T_AREASET_TXT_209#	77,93,71	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
210	#T_AREASET_TXT_210#	45,133,66	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
211	#T_AREASET_TXT_211#	220,120,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
212	#T_AREASET_TXT_212#	242,71,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
213	#T_AREASET_TXT_213#	24,38,222	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
214	#T_AREASET_TXT_214#	83,246,178	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
215	#T_AREASET_TXT_215#	95,133,110	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
216	#T_AREASET_TXT_216#	182,68,100	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
217	#T_AREASET_TXT_217#	252,142,62	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
218	#T_AREASET_TXT_218#	95,164,116	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
219	#T_AREASET_TXT_219#	150,223,125	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
220	#T_AREASET_TXT_220#	220,117,39	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
221	#T_AREASET_TXT_221#	235,100,228	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
222	#T_AREASET_TXT_222#	189,36,220	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
223	#T_AREASET_TXT_223#	114,38,80	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
224	#T_AREASET_TXT_224#	89,227,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
225	#T_AREASET_TXT_225#	19,196,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
226	#T_AREASET_TXT_226#	4,60,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
227	#T_AREASET_TXT_227#	222,132,209	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
228	#T_AREASET_TXT_228#	231,61,7	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
229	#T_AREASET_TXT_229#	92,216,119	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
230	#T_AREASET_TXT_230#	130,18,104	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
231	#T_AREASET_TXT_231#	201,212,70	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
232	#T_AREASET_TXT_232#	13,53,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
233	#T_AREASET_TXT_233#	69,246,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
234	#T_AREASET_TXT_234#	204,120,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
235	#T_AREASET_TXT_235#	232,4,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
236	#T_AREASET_TXT_236#	171,198,235	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
237	#T_AREASET_TXT_237#	167,132,219	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
238	#T_AREASET_TXT_238#	248,56,223	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
239	#T_AREASET_TXT_239#	96,68,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
240	#T_AREASET_TXT_240#	241,204,135	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
241	#T_AREASET_TXT_241#	179,42,224	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
242	#T_AREASET_TXT_242#	3,196,74	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
243	#T_AREASET_TXT_243#	198,52,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
244	#T_AREASET_TXT_244#	215,130,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
245	#T_AREASET_TXT_245#	48,202,188	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
246	#T_AREASET_TXT_246#	27,69,133	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
247	#T_AREASET_TXT_247#	166,14,218	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
248	#T_AREASET_TXT_248#	110,125,152	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
249	#T_AREASET_TXT_249#	206,63,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
250	#T_AREASET_TXT_250#	217,104,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
251	#T_AREASET_TXT_251#	239,134,60	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
252	#T_AREASET_TXT_252#	180,40,8	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
253	#T_AREASET_TXT_253#	13,75,166	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
254	#T_AREASET_TXT_254#	18,222,247	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
255	#T_AREASET_TXT_255#	122,97,10	-1	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
