//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
28	巡逻兵·迈克	1	12	0	95860,354925	95860,354925	174	帕克荒漠	16	0	r_talk89	0
29	药材商人·沙拉拉	1	424	11	90311,364658	90311,364658	264	沙岚新城	13	0	r_talk91	0
30	米尔米莉	1	441	0	124468,318623	124468,318623	234	巴布补给站	62	0	r_talk111	0
31	奥格森	1	437	0	119686,357020	119686,357020	204	帕克荒漠	16	0	r_talk112	0
32	加西亚·破帆	1	17	0	117710,345654	117710,345654	219	帕克荒漠	16	0	r_talk113	0
33	迪迪马修	1	19	0	80464,309888	80464,309888	219	沙泉补给站	57	0	r_talk114	0
34	俄克琉西斯	1	10	0	113130,315353	113130,315353	189	南部沙漠	15	0	r_talk115	0
35	梅利西亚·猫眼	1	408	0	111861,361173	111861,361173	174	南部沙漠	15	0	r_talk116	0
36	古得塔克·灰墙	1	404	0	92184,299184	92184,299184	159	南部沙漠	15	0	r_talk117	0
37	卡尔苏斯·泥巴	1	405	0	77946,309841	77946,309841	9	沙泉补给站	57	0	r_talk120	0
38	贝克	1	402	0	55628,293491	55628,293491	114	帕克荒漠	16	0	r_talk123	0
39	汉姆	1	403	0	82628,334708	82628,334708	189	沙岚旧城	14	0	r_talk124	0
40	爱尔尤利·微风	1	15	0	112743,341706	112743,341706	219	帕克荒漠	16	0	r_talk125	0
41	罗宾斯·背包	1	429	0	113109,330562	113109,330562	159	帕克荒漠	16	0	r_talk128	0
42	海港指挥·马克	1	448	9	82312,369841	82312,369841	245	沙岚新城	13	0	r_talk153	0
43	索拉姆·萨加	1	425	0	120252,317960	120252,317960	294	巴布补给站	62	0	r_talk133	0
44	奥迪斯.闪光	1	415	0	120106,320193	120106,320193	114	巴布补给站	62	0	r_talk100	0
45	蘑蘑	1	437	11	120982,319677	120982,319677	249	巴布补给站	62	0	r_talk166	0
46	传送使·贝瑟芬尼	1	424	7	122229,319650	122229,319650	189	巴布补给站	62	0	transmittal	0
47	维娜	1	444	0	78141,312711	78141,312711	129	沙泉补给站	57	0	r_talk167	0
48	菲菲	1	24	0	79742,312908	79742,312908	114	沙泉补给站	57	0	r_talk168	0
49	马洛	1	449	11	78919,311283	78919,311283	204	沙泉补给站	57	0	r_talk169	0
50	传送使·艾曼	1	424	7	80390,311472	80390,311472	249	沙泉补给站	57	0	transmittal	0
51	海港指挥·波尔	1	452	9	237202,73768	237202,73768	69	冰雪岛	31	0	r_talk188	0
52	海港指挥·托玛	1	452	9	174453,377489	174453,377489	339	鸣沙岛	38	0	r_talk189	0
53	海港指挥·夏德利	1	452	9	252852,239345	252852,239345	-124	真爱岛	37	0	r_talk190	0
54	海港指挥·鲁西	1	452	9	46444,46825	46444,46825	10	苏港补给站	75	0	r_talk191	0
55	海港指挥·布纽	1	452	9	204208,63550	204208,63550	20	埃弗里补给站	76	0	r_talk192	0
56	海港指挥·多廉达	1	452	9	349830,92343	349830,92343	180	拉古补给站	77	0	r_talk193	0
57	海港指挥·特巴齐尔	1	452	9	308137,213590	308137,213590	-20	其索单补给站	78	0	r_talk194	0
58	海港指挥·巴奥	1	453	9	202414,275254	202414,275254	-65	穆穆尔补给站	79	0	r_talk195	0
59	海港指挥·迪迪萨	1	452	9	154435,371225	154435,371225	-45	小肯补给站	80	0	r_talk196	0
60	海港指挥·丹尼斯	1	452	9	13647,343240	13647,343240	-45	肖沸补给站	81	0	r_talk197	0
61	海港指挥·索尔	1	452	9	319408,350755	319408,350755	20	埃皮杜补给站	82	0	r_talk198	0
62	交易员·西尔班	1	450	4	238622,73481	238622,73481	264	冰雪岛	31	0	r_talk199	0
63	交易员·米索亚斯	1	450	4	173958,374885	173958,374885	144	鸣沙岛	38	0	r_talk200	0
64	交易员·尤卡	1	450	4	251974,239702	251974,239702	84	真爱岛	37	0	r_talk201	0
65	交易员·西多夫	1	450	4	79934,365919	79934,365919	59	沙岚新城	13	0	r_talk208	0
66	打包人·阿里西斯	1	459	9	235697,72603	235697,72603	235	冰雪岛	31	0	r_talk217	0
67	打包人·伊加卡班	1	459	9	172646,378701	172646,378701	9	鸣沙岛	38	0	r_talk218	0
68	打包人·安巴瓦而	1	440	9	136903,303352	136903,303352	10	沙岚新城	13	0	r_talk219	0
69	岛屿传送使·朱丽	1	11	7	236614,72624	236614,72624	144	冰雪岛	31	0	island	0
70	岛屿传送使·温丽	1	11	7	172286,375558	172286,375558	144	鸣沙岛	38	0	island	0
71	岛屿传送使·瓦伦娜	1	11	7	252026,240257	252026,240257	84	真爱岛	37	0	island	0
72	海盗杰里米	1	451	0	236200,65759	236200,65759	210	冰雪岛	31	0	r_talk224	0
73	杰克船长	1	425	0	167220,377721	167220,377721	110	鸣沙岛	38	0	r_talk225	0
74	旅行商人	1	19	17	84701,360677	84701,360677	270	沙岚新城	13	0	r_talk234	0
75	饰品商人·艾伦	1	19	13	122671,318375	122671,318375	181	巴布补给站	62	0	r_talk240	0
76	打包人·安塞拉	1	440	9	153525,344928	153525,344928	175	帕克荒漠	16	0	r_talk245	0
77	考古学家队长	1	429	0	80892,361328	80892,361328	130	沙岚新城	13	0	r_talk253	0
78	废灵之都考古学家	1	425	0	80915,361585	80915,361585	10	沙岚新城	13	0	r_talk254	0
79	魔方世界考古学家	1	421	0	81197,361302	81197,361302	205	沙岚新城	13	0	r_talk255	0
80	阴暗沼泽考古学家	1	19	0	81108,361662	81108,361662	355	沙岚新城	13	0	r_talk256	0
81	神秘海港指挥	1	452	9	82800,370500	82800,370500	180	沙岚新城	13	0	r_talk263	0
82	打包人·阿里七七	1	459	9	83246,370701	83246,370701	245	沙岚新城	13	0	m_talk001	0
83	军火商	1	450	4	87227,364657	87227,364657	175	沙岚新城	13	0	r_talk264	0
84	精密仪器供应商	1	450	4	89587,365745	89587,365745	40	沙岚新城	13	0	r_talk265	0
85	稀有金属供应商	1	450	4	84801,364147	84801,364147	175	沙岚新城	13	0	r_talk266	0
86	铁匠的徒弟	1	402	1	90458,350138	90458,350138	219	沙岚新城	13	0	mmm_talk04	0
87	印第安纳·琼斯	1	429	0	80300,362000	80300,362000	50	沙岚新城	13	0	llleo_talk01	0
88	朗拿度	1	840	0	85300,354900	85300,354900	120	沙岚新城	13	0	e_talk01	0
89	乱斗管理员	1	424	0	96711,355311	97811,357511	180	沙岚新城	13	0	kk_talk01	0
90	篝火	1	867	0	90500,356300	90500,356300	180	沙岚新城	13	0	b_talk25	0
91	物质生成器	1	887	0	87700,364500	87700,364500	180	沙岚新城	13	0	b_talk27	0
93	矿石加工商	1	459	4	90800,352200	90800,352200	270	沙岚新城	13	0	leo_talkbb	0
94	小小研究生	1	403	0	88000,364500	88000,364500	180	沙岚新城	13	0	max_talka4	0
95	篝火婆婆	1	25	0	90700,356200	90700,356200	265	沙岚新城	13	0	max_talka2	0
96	问题处理员	1	430	0	308300,211800	308300,211800	265	其索单补给站	78	0	leo_talkzz	0
97	圣战管理员·娜亚	1	424	0	98100,360300	98100,360300	145	沙岚新城	13	0	roico_talk	0


